1	Yr	1,1	y | y	Rha | YFB	Rhaperth | YFB	
2	wyf	1,2	bod	B	Bpres1u	
3	fy	1,3	fy	Rha	Rhadib1u	
4	yn	1,4	yn	U	Uberf	
5	byw	1,5	byw	B	Be	
6	yng	1,6	yn	Ar	Arsym	
7	Nghaerdydd	1,7	Caerdydd	E	Ep	+nm
8	.	1,8	.	Atd	Atdt	
9	Cydbwyseth	2,1	Cydbwyseth	E	Ep	
10	.	2,2	.	Atd	Atdt	
11	cyd-ddigwyddiad	3,1	cyd-ddigwyddiad	unk	unk	
12	.	3,2	.	Atd	Atdt	
13	cydweithwyr	4,1	cydweithiwr	E	Egll	
14	.	4,2	.	Atd	Atdt	
15	cydfyw	5,1	cydfyw	B	Be	
16	.	5,2	.	Atd	Atdt	
17	cydfynd	6,1	cydfynd	B	Be	
18	.	6,2	.	Atd	Atdt	
19	Dych	7,1	bod	B	Bpres2ll	
20	chwi	7,2	chwi	unk	unk	
21	yn	7,3	yn	U	Uberf	
22	mynd	7,4	mynd	B	Be	
23	i	7,5	i	Ar	Arsym	
24	'r	7,6	y	YFB	YFB	
25	Gaerdydd	7,7	Caerdydd	E	Ep	+sm
26	?	7,8	?	Atd	Atdt	
27	gwrthblaid	8,1	gwrthblaid	E	Ebu	
28	gwrthgynhyrchiol	9,1	gwrthgynhyrchiol	unk	unk	
29	hunanbarch	10,1	hunanbarch	E	Egu	
30	hunanladdiad	11,1	hunanladdiad	E	Egu	
31	rhagweld	12,1	rhagweld	B	Be	
32	!	12,2	!	Atd	Atdt	
33	rhagfarn	13,1	rhagfarn	E	Ebu	
34	.	13,2	.	Atd	Atdt	
35	ymolchi	14,1	ymolchi | ymolchi	B | B	Be | Bpres2u	
36	.	14,2	.	Atd	Atdt	
37	ymladd	15,1	ymladd | ymladd	E | B	Egu | Be	
38	.	15,2	.	Atd	Atdt	
39	afresymol	16,1	afresymol	Ans	Anscadu	
40	aflwyddianus	17,1	aflwyddianus	unk	unk	
41	didrafferth	18,1	didrafferth	Ans	Anscadu	
42	di-Gymraeg	19,1	Cymraeg	Ans	Anscadu	
43	dibaid	20,1	dibaid	unk	unk	
44	anghofio	21,1	anghofio	B	Be	
45	annhebyg	22,1	annhebyg	Ans	Anscadu	
46	?	22,2	?	Atd	Atdt	
47	annarllenadwy	23,1	annarllenadwy	Ans	Anscadu	
48	;	23,2	;	Atd	Atdcan	
49	anghyson	24,1	anghyson	Ans	Anscadu	
50	amhosib	25,1	amhosib	Ans	Anscadu	
51	amhendant	26,1	amhendant	unk	unk	
52	anrhefn	27,1	anrhefn	unk	unk	
53	Wrth	28,1	wrth	Ar	Arsym	
54	lwc	28,2	lwc	E	Ebu	
55	roedd	28,3	bod	B	Bamherff3u	
56	Hercule	28,4	Hercule	E	Ep	
57	Poirot	28,5	Poirot	E	Ep	
58	,	28,6	,	Atd	Atdcan	
59	y	28,7	y	YFB	YFB	
60	ditectif	28,8	ditectif	unk	unk	
61	Belgaid	28,9	Belgaid	E	Ep	
62	enwog	28,10	enwog	Ans	Anscadu	
63	,	28,11	,	Atd	Atdcan	
64	yn	28,12	yn	U	Uberf	
65	aros	28,13	aros	B	Be	
66	yng	28,14	yn	Ar	Arsym	
67	Ngogledd	28,15	gogledd	E	Egu	+nm
68	Cymru	28,16	Cymru	E	Epb	
69	pan	28,17	pan	Cys	Cyscyd	
70	ddigwyddodd	28,18	digwydd	B	Bgorff3u	+sm
71	y	28,19	y	YFB	YFB	
72	trasiedi	28,20	trasiedi	unk	unk	
73	yno	28,21	yno	Adf	Adf	
74	.	28,22	.	Atd	Atdt	
75	Onibai	29,1	onibai	Cys	Cyscyd	
76	am	29,2	am	Ar	Arsym	
77	hyn	29,3	hwn	pron.demd	pron.demd	
78	,	29,4	,	Atd	Atdcan	
79	basai	29,5	bod	B	Bgorb3u	
80	'r	29,6	y	YFB	YFB	
81	dirgelwch	29,7	dirgelwch	E	Egu	
82	hwn	29,8	hwn	Rha	Rhadangg	
83	yn	29,9	yn	U	Uberf	
84	dal	29,10	dal	B	Be	
85	heb	29,11	heb	Ar	Arsym	
86	ei	29,12	ei	Rha	Rhadib3bu	
87	esbonio	29,13	esbonio	B	Be	
88	hyd	29,14	hyd	E	Egu	
89	heddiw	29,15	heddiw	Adf	Adf	
90	.	29,16	.	Atd	Atdt	
91	Ond	30,1	ond	Cys	Cyscyd	
92	gadewch	30,2	gadael | gadael	B | B	Bpres2ll | Bgorch2ll	
93	if	30,3	if	unk	unk	
94	fynd	30,4	mynd	B	Be	+sm
95	yn	30,5	yn	U	Utra	
96	ol	30,6	holl	Ans	Anscadu	
97	i	30,7	i	Ar	Arsym	
98	'r	30,8	y	YFB	YFB	
99	dechrau	30,9	dechrau	E	Egu	
100	..	30,10	..	Atd	Atdt	
101	.	30,11	.	Atd	Atdt	
102	Bu	31,1	bod	B	Bgorff3u	
103	rhaid	31,2	rhaid	E	Egu	
104	i	31,3	i	Rha	Rhapers1u	
105	Monsieur	31,4	Monsieur	E	Ep	
106	Poirot	31,5	Poirot	E	Ep	
107	adael	31,6	gadael	B	Be	+sm
108	ei	31,7	ei	Rha	Rhadib3bu	
109	fflat	31,8	fflat	E	Ebu	
110	yng	31,9	yn	Ar	Arsym	
111	nghanol	31,10	canol	E	Egu	+nm
112	Llundain	31,11	Llundain	E	Epb	
113	pan	31,12	pan	Cys	Cyscyd	
114	benderfynodd	31,13	penderfynu	B	Bgorff3u	+sm
115	awdurdodau	31,14	awdurdod	E	Egbll	
116	y	31,15	y	YFB	YFB	
